Slice,Count,TotalArea,AverageSize,AreaPerc,Mean,Block
OREw_DGRP038_R1_24_02-1.tif,1,342349,342349,43.703,255,B1
OREw_DGRP038_R1_24_03-1.tif,1,241932,241932,30.884,255,B1
OREw_DGRP038_R1_24_04-1.tif,1,291234,291234,37.178,255,B1
OREw_DGRP038_R1_24_05-1.tif,1,344478,344478,43.974,255,B1
OREw_DGRP038_R1_24_06-1.tif,1,300140,300140,38.314,255,B1
OREw_DGRP038_R1_24_07-1.tif,1,348060,348060,44.432,255,B1
OREw_DGRP038_R1_24_08-1.tif,1,379109,379109,48.395,255,B1
OREw_DGRP038_R1_24_09-1.tif,1,353639,353639,45.144,255,B1
OREw_DGRP038_R1_24_10-1.tif,1,230836,230836,29.467,255,B1
OREw_DGRP038_R1_24_11-1.tif,1,277755,277755,35.457,255,B1
OREw_DGRP038_R1_24_12-1.tif,1,338457,338457,43.206,255,B1
OREw_DGRP038_R1_24_13-1.tif,1,331465,331465,42.313,255,B1
OREw_DGRP038_R1_24_14-1.tif,1,296646,296646,37.868,255,B1
OREw_DGRP038_R1_24_15-1.tif,1,302279,302279,38.587,255,B1
OREw_DGRP038_R1_24_16-1.tif,1,340019,340019,43.405,255,B1
OREw_DGRP038_R1_24_17-1.tif,1,317007,317007,40.468,255,B1
OREw_DGRP038_R1_24_18-1.tif,1,324868,324868,41.471,255,B1
OREw_DGRP038_R1_24_19-1.tif,1,347169,347169,44.318,255,B1
OREw_DGRP038_R1_24_20-1.tif,1,211999,211999,27.063,255,B1
sd[1]_DGRP021_R1_24_01-1.tif,1,275012,275012,35.107,255,B1
